2022-08-11 01:08:537 INFO  DemoAccountPage :61 - Enter last name: [[ChromeDriver: chrome on WINDOWS (8e775fe7393cd7862dc780f1b6c63888)] -> id: name]
2022-08-11 01:08:273 INFO  DemoAccountPage :65 - Enter email id: [[ChromeDriver: chrome on WINDOWS (8e775fe7393cd7862dc780f1b6c63888)] -> id: email]
2022-08-11 01:08:521 INFO  DemoAccountPage :69 - Enter phone number: [[ChromeDriver: chrome on WINDOWS (8e775fe7393cd7862dc780f1b6c63888)] -> id: email]
2022-08-11 01:08:863 INFO  DemoAccountPage :75 - Click on check button : [[ChromeDriver: chrome on WINDOWS (8e775fe7393cd7862dc780f1b6c63888)] -> xpath: //body/div[1]/div[2]/div[1]/main[1]/article[1]/div[2]/div[1]/section[1]/section[1]/section[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[3]/div[1]/div[1]/div[1]/label[1]]
2022-08-11 01:08:180 INFO  DemoAccountPage :80 - Click on check button1 : [[ChromeDriver: chrome on WINDOWS (8e775fe7393cd7862dc780f1b6c63888)] -> xpath: //body/div[1]/div[2]/div[1]/main[1]/article[1]/div[2]/div[1]/section[1]/section[1]/section[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[4]/div[1]/div[1]/div[1]/label[1]]
2022-08-11 01:08:154 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-11 01:08:349 INFO  DemoAccountPage :57 - Enter first name: [[ChromeDriver: chrome on WINDOWS (c9385c963e9d989d96c51ae1329e205b)] -> id: name]
2022-08-11 01:08:585 INFO  DemoAccountPage :61 - Enter last name: [[ChromeDriver: chrome on WINDOWS (c9385c963e9d989d96c51ae1329e205b)] -> id: name]
2022-08-11 01:08:867 INFO  DemoAccountPage :65 - Enter email id: [[ChromeDriver: chrome on WINDOWS (c9385c963e9d989d96c51ae1329e205b)] -> id: email]
2022-08-11 01:08:109 INFO  DemoAccountPage :69 - Enter phone number: [[ChromeDriver: chrome on WINDOWS (c9385c963e9d989d96c51ae1329e205b)] -> id: email]
2022-08-11 01:08:413 INFO  DemoAccountPage :75 - Click on check button : [[ChromeDriver: chrome on WINDOWS (c9385c963e9d989d96c51ae1329e205b)] -> xpath: //body/div[1]/div[2]/div[1]/main[1]/article[1]/div[2]/div[1]/section[1]/section[1]/section[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[3]/div[1]/div[1]/div[1]/label[1]]
2022-08-11 01:08:585 INFO  DemoAccountPage :80 - Click on check button1 : [[ChromeDriver: chrome on WINDOWS (c9385c963e9d989d96c51ae1329e205b)] -> xpath: //body/div[1]/div[2]/div[1]/main[1]/article[1]/div[2]/div[1]/section[1]/section[1]/section[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[4]/div[1]/div[1]/div[1]/label[1]]
2022-08-11 01:08:733 INFO  DemoAccountPage :85 - Click on create account button : [[ChromeDriver: chrome on WINDOWS (c9385c963e9d989d96c51ae1329e205b)] -> id: avaWidgetSubmit]
2022-08-11 01:08:706 INFO  TradePage :49 - Click on skip tutorial popup : Proxy element for: DefaultElementLocator 'By.xpath: //span[contains(text(),'Skip Tutorial')]'
2022-08-11 01:08:883 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-11 01:08:655 INFO  DemoAccountPage :57 - Enter first name: [[ChromeDriver: chrome on WINDOWS (c20b13c598e24bb048ca60ec56afa04a)] -> id: name]
